agent,version,variant,map_name,csv_path,checkpoint_steps,mean_nav_win_rate_percent,mean_combat_win_rate_percent,mean_win_rate_percent,seed_count,mean_episodes
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1300992,80.208333,0.0,80.208333,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1350144,86.458333,0.0,86.458333,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1400832,82.291667,0.0,82.291667,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1451520,86.458333,0.0,86.458333,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1500672,82.291667,0.0,82.291667,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1551360,85.416667,0.0,85.416667,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1600512,81.25,0.0,81.25,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1651200,84.375,0.0,84.375,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1700352,88.541667,0.0,88.541667,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1751040,87.5,0.0,87.5,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1800192,77.083333,0.0,77.083333,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1850880,93.75,0.0,93.75,3,32.0
MAPPO,V1,Navigate,V1_Navigate,MAPPO_reduced\V1_Navigate\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv16.csv,1900032,84.375,0.0,84.375,3,32.0
