grid,grid_label,series_kind,agent,version,variant,map_name,source_path,checkpoint_steps,mean_win_rate_percent,ci95_low_percent,ci95_high_percent,min_win_rate_percent,max_win_rate_percent,std_win_rate_percent,training_seed_count,evaluation_episodes,notes
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4001280,42.708333,,,34.375,46.875,7.216878,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4050432,44.791667,,,28.125,62.5,17.211158,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4101120,40.625,,,28.125,59.375,16.535946,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4150272,45.833333,,,34.375,56.25,10.974639,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4200960,47.916667,,,34.375,62.5,14.091405,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4250112,35.416667,,,18.75,43.75,14.433757,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4300800,45.833333,,,28.125,62.5,17.211158,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4351488,47.916667,,,37.5,53.125,9.021098,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4400640,39.583333,,,21.875,53.125,16.036254,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4451328,40.625,,,15.625,59.375,22.534695,3,,Mean across eligible training seeds at this checkpoint.
10m,"10M, 8 eval envs",checkpoint_mean,MAPPO,V1,Base,V1_Base,MAPPO_reduced\V1_Base\MAPPO_reduced\checkpoint_sweep\checkpoint_metrics_32ep_greedy_nenv8.csv,4500480,35.416667,,,28.125,46.875,10.04547,3,,Mean across eligible training seeds at this checkpoint.
